City,Location,Bedrooms,Type of Residency,Monthly Rent,Deposit,Furnished,"Area Rating (Traffic, Noise, etc.)",Cleanliness Rating,Amenities,Proximity to Public Transport,Property Condition Rating,Famous Places Nearby
Jaipur,Mansarovar,1,Apartment,76930,384650,Semi-furnished,6,6,"Parking, Gym, 24x7 Security, Power Backup",754m from Public Transport,6,"Hawa Mahal, City Palace"
Pune,Koregaon Park,1,Apartment,43764,218820,Fully Furnished,9,8,"Power Backup, Swimming Pool",1144m from Public Transport,7,"Aga Khan Palace, FC Road"
Delhi,Connaught Place,4,Independent House,81643,489858,Fully Furnished,6,7,"24x7 Security, Parking, Power Backup",740m from Public Transport,10,"Qutub Minar, Lotus Temple"
Chennai,Anna Nagar,4,Apartment,60648,363888,Semi-furnished,7,4,"Parking, Gym",110m from Public Transport,9,"Vivekananda House, Marina Beach"
Pune,Koregaon Park,4,Villa,94374,377496,Unfurnished,4,6,"Parking, Gym, Power Backup",1376m from Public Transport,6,"Shaniwar Wada, Aga Khan Palace"
Jaipur,C-Scheme,4,Apartment,71591,357955,Semi-furnished,4,7,"Security, Parking, 24x7 Security",269m from Public Transport,7,"Amber Fort, Hawa Mahal"
Ahmedabad,SG Highway,1,Studio,35753,143012,Unfurnished,9,7,"Power Backup, Swimming Pool, Parking, 24x7 Security",879m from Public Transport,7,"Kankaria Lake, Law Garden"
Mumbai,Andheri,3,Studio,16696,66784,Unfurnished,10,8,"Gym, 24x7 Security, Power Backup",1378m from Public Transport,6,"Juhu Beach, Marine Drive"
Ahmedabad,Satellite,2,Villa,94463,566778,Semi-furnished,8,4,"Gym, Swimming Pool, Parking",806m from Public Transport,7,"Sabarmati Ashram, Kankaria Lake"
Pune,Koregaon Park,4,Apartment,66058,330290,Semi-furnished,10,10,"Parking, Power Backup, 24x7 Security",1474m from Public Transport,8,"Aga Khan Palace, FC Road"
Ahmedabad,Satellite,2,Villa,68695,343475,Semi-furnished,9,5,"Gym, Security",1029m from Public Transport,10,"Sabarmati Ashram, Law Garden"
Pune,Hinjewadi,4,Independent House,91630,274890,Unfurnished,7,6,"Power Backup, Parking, Security, Gym",787m from Public Transport,7,"Shaniwar Wada, Aga Khan Palace"
Bangalore,Whitefield,3,Villa,49428,197712,Fully Furnished,4,10,"Power Backup, Gym, Parking",693m from Public Transport,5,"MG Road, Cubbon Park"
Delhi,Rohini,4,Villa,45691,274146,Semi-furnished,5,8,"Security, 24x7 Security, Parking",1048m from Public Transport,8,"Qutub Minar, Lotus Temple"
